Format Version,1.21,Take Name,Outdoor_2018_05_17_2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-05-17 08.10.51 PM,Total Frames in Take,44265,Total Exported Frames,44265,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
87,0.725000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
88,0.733333,-0.003668,0.999682,-0.000357,-0.024948,-0.070471,0.217103,0.340896,0.000483
89,0.741667,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
90,0.750000,-0.002368,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
91,0.758333,-0.002369,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
92,0.766667,-0.002369,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
93,0.775000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
94,0.783333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
95,0.791667,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
96,0.800000,-0.003972,0.999689,-0.000346,-0.024626,-0.070399,0.217144,0.340966,0.000404
97,0.808333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
98,0.816667,-0.003970,0.999689,-0.000346,-0.024625,-0.070400,0.217144,0.340967,0.000405
99,0.825000,-0.002885,0.999714,-0.001827,-0.023672,-0.070579,0.216830,0.341021,0.000843
100,0.833333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
101,0.841667,-0.002368,0.999711,-0.000640,-0.023916,-0.070611,0.216969,0.341059,0.000817
102,0.850000,-0.002368,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
103,0.858333,-0.002367,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
104,0.866667,-0.002367,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
105,0.875000,-0.002367,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
106,0.883333,-0.002367,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
107,0.891667,-0.002306,0.999724,-0.000328,-0.023393,-0.070519,0.217004,0.341016,0.000886
108,0.900000,-0.003853,0.999702,-0.000053,-0.024089,-0.070307,0.217173,0.340929,0.000461
